#{"t_start": 1620967668.4467273, "env_id": "HalfCheetah-v3"}
r,l,t
1.453523,1000,3.524014
1.767653,1000,4.381232
1.486529,1000,5.233046
1.488334,1000,6.102732
1.655612,1000,6.980378
1.458031,1000,7.912569
1.512827,1000,8.765878
1.513784,1000,9.610379
1.488235,1000,10.486784
1.446238,1000,11.350063
1.505527,1000,24.509481
1.761563,1000,30.880808
1.787081,1000,37.738263
1.822132,1000,44.616931
1.854869,1000,52.060422
1.757011,1000,58.622737
1.69445,1000,65.22114
1.945584,1000,72.128186
1.941753,1000,78.695027
1.853354,1000,85.67051
2.067812,1000,100.651838
2.166452,1000,108.0658
1.919783,1000,114.70947
2.013655,1000,121.378057
2.060535,1000,127.903538
2.090121,1000,134.348038
1.896231,1000,140.836428
2.247286,1000,147.404539
1.722141,1000,153.909311
1.836912,1000,160.365259
1.998237,1000,173.416294
2.142715,1000,179.977689
2.244049,1000,186.473603
2.301653,1000,192.941577
2.006057,1000,199.579907
1.593497,1000,206.223329
2.167078,1000,212.762962
1.747959,1000,219.298233
2.052801,1000,225.90266
1.734883,1000,232.198191
2.007044,1000,245.103575
2.212497,1000,251.995649
2.01455,1000,259.533693
2.179103,1000,266.707443
1.842613,1000,273.340486
1.846676,1000,279.961693
1.721326,1000,286.528996
1.760125,1000,293.250153
2.209509,1000,300.376144
1.734716,1000,307.222887
1.650903,1000,322.091934
1.939619,1000,329.012141
1.574374,1000,336.073754
1.6105,1000,343.305425
1.910761,1000,349.897597
1.751384,1000,356.932397
1.820197,1000,363.711291
1.886163,1000,370.608355
1.771341,1000,376.792805
1.737125,1000,383.199166
1.808362,1000,396.154467
2.086791,1000,402.709364
2.010257,1000,409.234055
2.165418,1000,415.874941
2.111707,1000,422.554439
2.059303,1000,429.230829
2.000729,1000,435.779657
2.180727,1000,442.304994
2.302259,1000,448.379426
2.230164,1000,455.09114
2.500896,1000,468.066853
2.184293,1000,474.720448
2.243877,1000,481.396323
2.268993,1000,487.99324
2.134396,1000,494.624201
2.288325,1000,501.196102
1.959365,1000,507.763434
2.172073,1000,514.128217
2.315744,1000,520.365359
2.610455,1000,526.926894
2.436943,1000,540.001447
3.154923,1000,546.587469
3.166026,1000,553.226485
3.496301,1000,559.922232
3.090941,1000,566.502389
2.930349,1000,573.057387
2.394714,1000,579.664439
3.31885,1000,586.020272
3.722865,1000,592.497272
3.906786,1000,599.903204
4.586595,1000,615.662494
4.94792,1000,622.405471
5.506132,1000,629.846492
5.32775,1000,636.550777
5.331191,1000,643.330189
4.57657,1000,649.973308
4.564705,1000,658.107011
4.788989,1000,664.420184
5.112684,1000,671.089645
5.277572,1000,677.714129
5.121947,1000,690.839864
5.718312,1000,697.448508
6.778943,1000,703.975401
6.810399,1000,710.534457
7.169096,1000,717.084697
7.441256,1000,723.794032
3.073772,1000,730.098778
6.832671,1000,736.380918
7.22202,1000,742.95895
7.655842,1000,749.670682
7.783848,1000,762.705463
8.022227,1000,769.248275
8.211764,1000,775.907292
3.690717,1000,782.539877
7.824777,1000,789.096177
7.699941,1000,795.662309
7.437437,1000,802.033483
6.849521,1000,808.483834
7.813736,1000,815.10203
7.885168,1000,821.690181
7.926771,1000,834.785208
7.70319,1000,841.413091
8.121896,1000,848.000159
8.094562,1000,854.648246
8.174624,1000,861.237667
8.168292,1000,867.684707
7.978395,1000,873.887745
7.387948,1000,880.465224
7.893809,1000,887.149124
8.140177,1000,893.745797
7.927384,1000,906.874824
8.02261,1000,913.678587
7.602486,1000,920.247216
7.779794,1000,926.831171
7.844834,1000,933.498146
7.761325,1000,939.842335
7.689764,1000,946.178638
7.768286,1000,952.789709
7.673074,1000,959.370653
7.760137,1000,966.061367
7.683772,1000,979.137693
7.559063,1000,985.730963
7.650092,1000,992.486142
7.412707,1000,999.067984
7.449951,1000,1005.939294
7.461931,1000,1012.175332
7.402482,1000,1018.980025
7.491633,1000,1025.610696
7.314796,1000,1032.225039
7.563515,1000,1038.800299
7.457922,1000,1051.937413
7.612474,1000,1058.504652
7.986908,1000,1065.061806
7.80995,1000,1071.737272
8.060901,1000,1078.284563
7.197359,1000,1084.544637
7.354149,1000,1091.097411
7.476741,1000,1097.647979
9.135215,1000,1104.310836
9.913382,1000,1110.896878
9.538088,1000,1123.860367
10.269464,1000,1130.569406
4.170023,1000,1137.18621
9.492906,1000,1143.76223
9.844849,1000,1150.065986
9.613301,1000,1156.555175
9.489933,1000,1163.115797
10.211053,1000,1169.786939
9.652115,1000,1176.401391
11.434218,1000,1182.99396
10.977775,1000,1196.039861
11.478288,1000,1202.61821
11.958251,1000,1209.265147
11.524121,1000,1215.836731
11.728257,1000,1222.047393
12.277432,1000,1228.586643
13.142045,1000,1235.308984
12.52183,1000,1241.912328
13.047739,1000,1248.514078
12.529747,1000,1255.215636
12.980936,1000,1268.299044
13.581906,1000,1274.937677
13.55313,1000,1281.523432
13.735399,1000,1288.088662
13.218897,1000,1294.345546
13.467298,1000,1300.920928
11.243525,1000,1307.474247
13.665952,1000,1314.096244
13.939431,1000,1320.803007
13.925103,1000,1327.384917
13.323338,1000,1340.498135
14.485814,1000,1347.10586
14.281626,1000,1353.734354
14.076325,1000,1359.986566
13.842059,1000,1366.50994
13.994799,1000,1373.190453
14.647885,1000,1379.79275
14.559194,1000,1386.396366
14.753499,1000,1392.973731
14.50019,1000,1399.705278
14.690534,1000,1412.82417
14.552803,1000,1419.358109
14.820603,1000,1425.918453
14.46653,1000,1432.220948
15.341761,1000,1438.78744
14.816081,1000,1445.446148
15.62296,1000,1452.101877
15.181386,1000,1458.724113
14.807231,1000,1465.314778
14.725311,1000,1471.981727
9.112035,1000,1485.51874
15.110754,1000,1492.133237
15.856174,1000,1498.413484
15.752725,1000,1504.934544
15.955707,1000,1511.544096
15.232638,1000,1518.183943
15.61433,1000,1524.829428
16.08463,1000,1532.405095
15.996529,1000,1539.01876
15.821543,1000,1545.924214
15.905815,1000,1559.073371
15.800441,1000,1565.635137
15.232715,1000,1571.797959
16.090646,1000,1578.301609
15.967618,1000,1584.878408
15.788692,1000,1591.697678
15.516273,1000,1598.280385
15.696576,1000,1604.884559
15.852207,1000,1611.438801
15.840829,1000,1618.129065
15.78223,1000,1631.154976
15.885885,1000,1637.622234
15.64002,1000,1644.026769
15.556189,1000,1650.654382
15.511179,1000,1657.214917
15.877681,1000,1663.773353
15.830691,1000,1670.456232
15.659438,1000,1677.111162
15.278594,1000,1683.719943
15.493348,1000,1690.313356
15.417455,1000,1703.367228
15.271879,1000,1709.666245
15.690129,1000,1716.055938
15.308501,1000,1722.753503
15.223355,1000,1729.333467
15.220654,1000,1735.979912
15.465478,1000,1742.609195
15.760609,1000,1749.215908
15.197245,1000,1755.835541
15.255404,1000,1762.478451
15.798258,1000,1775.491328
15.52504,1000,1781.68593
15.689871,1000,1788.285803
15.216839,1000,1794.81329
15.320435,1000,1801.617066
15.530424,1000,1808.171226
15.226834,1000,1814.757898
15.496811,1000,1821.304096
15.595236,1000,1827.933294
15.141907,1000,1834.556464
15.692073,1000,1847.371183
15.945381,1000,1853.569377
15.45532,1000,1860.269075
15.873789,1000,1866.929785
15.718639,1000,1873.631551
15.446085,1000,1880.29032
15.864512,1000,1886.984771
15.330932,1000,1893.608658
15.865979,1000,1900.202849
15.583728,1000,1906.835814
15.776565,1000,1919.656847
16.13994,1000,1926.090892
15.516415,1000,1932.78574
15.651047,1000,1939.386392
15.86913,1000,1946.015447
15.764822,1000,1952.616616
15.916383,1000,1959.374956
16.072258,1000,1966.005813
15.932551,1000,1972.625766
15.702074,1000,1979.255871
15.990745,1000,1991.968599
16.347382,1000,1998.519031
15.822451,1000,2005.091147
16.192898,1000,2011.805326
16.427641,1000,2018.413059
15.644857,1000,2024.995197
15.839489,1000,2031.609693
15.879212,1000,2038.365331
15.969147,1000,2044.985536
16.491541,1000,2051.594035
15.877062,1000,2064.320465
16.515216,1000,2070.970864
16.087689,1000,2077.548033
16.289744,1000,2084.084756
16.094749,1000,2090.808762
15.877508,1000,2097.430415
15.889539,1000,2104.081118
15.558402,1000,2110.651205
15.996566,1000,2117.360029
15.371915,1000,2123.9544
16.12187,1000,2136.884448
16.830995,1000,2143.541955
16.361962,1000,2150.091049
15.871441,1000,2156.775977
15.775366,1000,2163.382005
16.245645,1000,2170.043118
16.512952,1000,2176.635629
16.057975,1000,2183.224295
16.179141,1000,2190.035933
16.246147,1000,2196.666744
16.632713,1000,2209.757671
16.245942,1000,2216.522955
16.356376,1000,2223.173593
15.971066,1000,2229.776043
16.601205,1000,2236.393406
16.183899,1000,2243.084504
16.546281,1000,2249.831129
16.077638,1000,2256.401
17.157227,1000,2262.955012
16.404595,1000,2269.48863
16.537895,1000,2282.67124
16.084922,1000,2289.222059
16.467004,1000,2295.878666
16.266868,1000,2302.494269
16.617419,1000,2309.133307
16.199169,1000,2315.673103
15.837224,1000,2322.283656
16.891634,1000,2328.873317
16.610128,1000,2335.460352
16.384015,1000,2341.895864
16.227499,1000,2354.974802
16.10898,1000,2361.650681
16.958798,1000,2368.333751
16.187537,1000,2375.089166
17.248773,1000,2381.699806
16.36466,1000,2388.311852
16.96383,1000,2394.992707
16.673764,1000,2401.611036
16.658323,1000,2408.229033
16.799644,1000,2414.444237
16.695675,1000,2427.423388
17.209002,1000,2434.048163
16.811416,1000,2440.640126
16.646676,1000,2447.215926
16.919093,1000,2453.972533
16.748788,1000,2460.572971
17.026032,1000,2467.186587
16.934948,1000,2473.763755
16.927158,1000,2480.258269
16.406864,1000,2486.507998
17.137266,1000,2499.520456
17.215928,1000,2506.178539
16.595114,1000,2513.030898
16.332682,1000,2519.654268
16.899515,1000,2526.330719
16.064991,1000,2533.000654
16.71859,1000,2539.576041
17.258401,1000,2546.19956
17.072839,1000,2552.6031
17.165726,1000,2558.940315
16.843043,1000,2572.051664
17.02248,1000,2578.79858
17.242805,1000,2585.40975
16.155858,1000,2591.974606
17.176846,1000,2598.545297
16.618066,1000,2605.323631
17.177803,1000,2611.93861
17.306584,1000,2618.571295
17.273602,1000,2624.77203
17.575684,1000,2631.281841
17.482153,1000,2644.388386
17.733481,1000,2650.984603
16.67489,1000,2657.552897
16.943601,1000,2664.219151
16.876869,1000,2670.80541
17.590513,1000,2677.514172
17.307349,1000,2684.122373
17.623174,1000,2690.664442
16.832894,1000,2696.922318
18.431966,1000,2703.481641
17.569527,1000,2716.544753
17.487449,1000,2723.164865
17.423933,1000,2729.753453
16.618338,1000,2736.412182
17.317076,1000,2743.001956
16.840168,1000,2749.571117
17.389674,1000,2756.444224
17.921757,1000,2762.831947
17.700059,1000,2769.392493
17.178264,1000,2776.195343
17.096602,1000,2789.23427
16.901275,1000,2795.905561
17.645851,1000,2802.437834
18.006062,1000,2809.032295
16.902398,1000,2815.729469
16.978302,1000,2822.416084
17.405095,1000,2828.949713
17.837645,1000,2835.145612
17.942265,1000,2841.701585
18.042294,1000,2848.426809
17.633391,1000,2861.363798
17.611914,1000,2867.96271
17.241697,1000,2874.669769
17.261642,1000,2881.25231
18.321799,1000,2887.8117
17.757187,1000,2894.456277
17.825864,1000,2901.078959
17.88631,1000,2907.31299
17.73648,1000,2913.887077
17.891183,1000,2920.499742
17.933534,1000,2933.580915
18.083558,1000,2940.3583
17.779297,1000,2946.914204
17.680941,1000,2953.602927
18.624897,1000,2960.220601
18.388831,1000,2966.83588
18.452876,1000,2973.142381
17.802588,1000,2979.582464
18.380949,1000,2986.15439
17.723669,1000,2992.758969
17.865428,1000,3005.993716
19.38393,1000,3012.575109
18.640944,1000,3019.26335
17.648662,1000,3025.835994
18.714215,1000,3032.497797
18.259579,1000,3039.138827
19.159387,1000,3045.29748
18.665543,1000,3051.876913
18.256867,1000,3058.561954
18.385696,1000,3065.181769
18.7915,1000,3078.119148
18.260242,1000,3084.795214
18.601109,1000,3091.428193
18.265866,1000,3098.030318
18.53103,1000,3104.569374
18.346169,1000,3111.131118
18.934537,1000,3117.388171
18.473401,1000,3123.90712
18.788265,1000,3130.481469
18.636378,1000,3137.137064
18.70545,1000,3150.159926
18.675134,1000,3156.748242
19.408452,1000,3163.409545
18.741885,1000,3170.176783
19.158733,1000,3176.824467
19.134042,1000,3183.314908
18.716965,1000,3189.621789
12.437964,1000,3196.293843
18.185469,1000,3202.892295
18.545595,1000,3209.477845
18.939303,1000,3222.636622
18.867299,1000,3229.236487
19.883339,1000,3235.808624
5.416729,1000,3242.469377
18.810003,1000,3249.16947
19.733905,1000,3255.385883
20.279167,1000,3261.94239
19.396117,1000,3268.652064
6.10134,1000,3275.327641
19.779992,1000,3281.889362
18.784411,1000,3294.899238
18.996891,1000,3301.531838
19.204561,1000,3308.154826
20.018836,1000,3314.816103
19.38251,1000,3321.305658
19.714913,1000,3327.547248
19.619936,1000,3334.329135
19.649531,1000,3340.961563
19.871696,1000,3347.580188
19.772464,1000,3354.173161
19.672973,1000,3367.261546
19.495951,1000,3373.856983
20.378151,1000,3380.40023
19.140859,1000,3387.108123
19.955375,1000,3393.426549
19.714458,1000,3399.750818
20.126411,1000,3406.299957
19.586331,1000,3412.983405
19.746868,1000,3419.592391
19.179058,1000,3426.183322
19.703263,1000,3439.195604
20.086708,1000,3445.779328
19.821426,1000,3452.351989
19.599939,1000,3458.91537
19.490618,1000,3465.104125
19.660307,1000,3471.694151
19.656764,1000,3478.282696
19.737581,1000,3484.920084
19.783297,1000,3491.650532
18.704822,1000,3498.30774
19.850401,1000,3511.277837
19.863146,1000,3517.885442
20.351931,1000,3524.667618
20.470103,1000,3531.204044
19.830445,1000,3537.4432
20.399254,1000,3544.027616
19.249763,1000,3550.678184
20.189344,1000,3557.335625
19.700122,1000,3563.943016
19.535789,1000,3570.638342
19.249924,1000,3583.663845
20.142771,1000,3590.248895
21.056278,1000,3596.816185
20.296613,1000,3603.24293
20.191578,1000,3609.571485
19.859824,1000,3616.140121
21.0343,1000,3622.744238
19.614067,1000,3629.404488
20.998341,1000,3635.985485
20.64043,1000,3642.564683
20.119625,1000,3655.613987
20.043553,1000,3662.238135
19.773968,1000,3668.821768
20.027371,1000,3674.976352
20.909319,1000,3681.580436
20.589704,1000,3688.199764
20.559367,1000,3694.75868
20.409408,1000,3701.32753
21.228377,1000,3707.973712
20.36015,1000,3714.62894
20.415536,1000,3727.714394
20.395066,1000,3734.359375
20.210548,1000,3740.807578
20.224552,1000,3747.039044
20.150924,1000,3753.646318
20.008505,1000,3760.281374
20.740732,1000,3766.907153
20.569218,1000,3773.551745
19.679261,1000,3780.165528
20.664736,1000,3786.809281
20.626783,1000,3799.828509
20.245943,1000,3806.461511
20.285569,1000,3813.10326
20.796505,1000,3819.469963
19.928579,1000,3826.036575
20.467418,1000,3832.677792
20.240448,1000,3839.427276
20.472247,1000,3846.03711
4.890184,1000,3852.713072
21.002858,1000,3859.315251
20.279635,1000,3872.397838
20.99817,1000,3879.053671
20.502582,1000,3885.277762
20.300224,1000,3891.895779
19.877224,1000,3898.494981
20.633644,1000,3905.112129
20.307504,1000,3911.729516
20.552661,1000,3918.356371
20.854795,1000,3925.085032
20.897153,1000,3931.74174
21.257211,1000,3944.967061
20.293688,1000,3951.615002
20.030444,1000,3957.838448
21.016178,1000,3964.392399
20.369557,1000,3971.109793
20.307127,1000,3977.750211
20.738581,1000,3984.35665
20.9729,1000,3990.991971
20.8638,1000,3997.687688
20.506647,1000,4004.31373
20.432611,1000,4017.324966
20.918805,1000,4023.824538
20.318711,1000,4030.134862
20.73758,1000,4036.761427
20.596063,1000,4043.359217
19.816554,1000,4050.111099
20.27221,1000,4056.76639
20.791406,1000,4063.38974
20.054132,1000,4070.034444
20.396994,1000,4076.805295
20.733391,1000,4089.850763
20.811738,1000,4096.12015
20.938639,1000,4102.636951
20.073366,1000,4109.262967
20.322636,1000,4115.891259
20.374877,1000,4122.52587
19.997156,1000,4129.179701
19.995619,1000,4135.792803
21.572501,1000,4142.482767
20.376539,1000,4149.099156
20.89222,1000,4162.206039
20.271074,1000,4168.405155
20.350052,1000,4174.986405
20.982572,1000,4181.781244
20.891862,1000,4188.331501
19.745225,1000,4194.979785
20.529808,1000,4201.66812
20.903963,1000,4208.337687
20.241235,1000,4214.954946
21.50841,1000,4221.558132
20.711711,1000,4234.437816
20.429728,1000,4240.70556
20.357893,1000,4247.327771
20.520075,1000,4253.991947
20.537452,1000,4260.756639
21.811134,1000,4267.364755
20.849283,1000,4274.039493
21.451864,1000,4280.618248
20.497128,1000,4287.335434
20.709232,1000,4293.925201
20.80858,1000,4306.590831
21.083618,1000,4313.145764
20.084163,1000,4319.784603
20.470813,1000,4326.399871
20.665693,1000,4333.105852
20.092688,1000,4339.818639
21.500033,1000,4346.424078
20.38647,1000,4353.044236
21.090978,1000,4359.659911
21.320022,1000,4366.316728
21.149246,1000,4378.826067
6.11696,1000,4385.453915
21.623557,1000,4392.188604
20.919076,1000,4398.804955
20.944568,1000,4405.388586
20.796125,1000,4412.070909
21.199898,1000,4418.858842
20.683329,1000,4425.439268
21.302214,1000,4432.039811
20.768021,1000,4438.660887
20.545088,1000,4451.46381
21.485554,1000,4458.036649
20.673731,1000,4464.671597
21.760183,1000,4471.415368
21.37444,1000,4478.056765
20.93461,1000,4484.647199
21.94474,1000,4491.225379
21.090919,1000,4497.994204
20.451782,1000,4504.606645
21.186877,1000,4511.272336
20.873098,1000,4524.279759
21.242263,1000,4530.937068
21.981838,1000,4537.613015
21.363636,1000,4544.280618
20.488177,1000,4550.903706
21.071291,1000,4557.579539
21.47259,1000,4564.307531
21.045627,1000,4570.86091
21.832553,1000,4577.642972
21.624055,1000,4584.321416
22.233405,1000,4597.390575
21.593144,1000,4604.058973
22.105866,1000,4610.591543
20.941949,1000,4617.24181
21.698447,1000,4623.862646
21.224161,1000,4630.642191
21.244494,1000,4637.197985
21.432595,1000,4643.838566
21.429725,1000,4650.584716
21.478959,1000,4657.13764
20.789266,1000,4670.188285
21.694524,1000,4676.873736
21.681982,1000,4683.47654
21.34038,1000,4690.072321
21.322956,1000,4696.691363
21.37809,1000,4703.383359
22.136067,1000,4710.022617
21.15002,1000,4716.604122
21.803515,1000,4723.175843
21.417353,1000,4729.629089
21.526901,1000,4742.757994
22.303092,1000,4749.367936
22.522899,1000,4756.105886
21.116567,1000,4762.759573
21.81792,1000,4769.332459
21.200696,1000,4775.857455
21.065276,1000,4782.506869
21.970468,1000,4789.084512
21.962745,1000,4795.801691
21.788696,1000,4802.116714
22.607285,1000,4815.089699
21.735793,1000,4821.747607
22.087863,1000,4828.363876
22.199909,1000,4835.045639
22.09217,1000,4841.648422
21.701948,1000,4848.221432
21.872867,1000,4854.837688
22.114289,1000,4861.553115
22.353174,1000,4868.090818
22.305571,1000,4874.235523
22.061344,1000,4887.369952
21.600569,1000,4893.991296
21.227481,1000,4900.592596
22.302866,1000,4907.20669
21.697459,1000,4913.870151
21.676676,1000,4920.469926
21.223295,1000,4927.177203
22.454791,1000,4933.847728
22.058966,1000,4940.348819
22.363805,1000,4946.738021
22.204234,1000,4959.679696
22.182719,1000,4966.463511
22.388944,1000,4973.160203
22.233795,1000,4979.80017
22.211981,1000,4986.374725
22.510879,1000,4993.048352
22.321119,1000,4999.670517
22.006374,1000,5006.292279
21.772451,1000,5012.512626
22.072542,1000,5019.07061
21.756706,1000,5032.069658
22.616645,1000,5038.739297
21.729422,1000,5045.389724
22.951771,1000,5051.99405
22.561278,1000,5058.632785
22.404289,1000,5065.201829
21.852332,1000,5071.934551
22.461942,1000,5078.463587
22.521441,1000,5084.671521
22.253221,1000,5091.30348
22.560536,1000,5104.396419
21.701676,1000,5111.061267
21.784353,1000,5117.618351
22.185709,1000,5124.315981
21.953048,1000,5130.94341
22.673848,1000,5137.553641
22.301969,1000,5144.111408
22.209962,1000,5150.658323
23.172584,1000,5156.983001
23.381509,1000,5163.579639
22.082477,1000,5176.765513
21.683504,1000,5183.330375
22.896973,1000,5189.982056
22.136684,1000,5196.578752
22.630599,1000,5203.242284
22.628863,1000,5209.893189
22.566607,1000,5216.585975
22.506145,1000,5222.84989
22.911038,1000,5229.418496
23.350942,1000,5236.049127
21.878313,1000,5249.032533
22.51745,1000,5255.653369
22.518173,1000,5262.268148
22.94628,1000,5268.899655
22.489939,1000,5275.618516
22.585161,1000,5282.235227
22.582573,1000,5288.81711
23.06122,1000,5294.984713
22.034962,1000,5301.734122
22.511434,1000,5308.42313
22.803247,1000,5321.349237
22.883764,1000,5328.052727
21.690619,1000,5334.702239
22.190426,1000,5341.327276
22.202383,1000,5347.9504
22.256817,1000,5354.770132
22.433236,1000,5361.16839
22.285734,1000,5367.456927
23.091804,1000,5374.13006
22.174837,1000,5380.848278
22.965685,1000,5394.015189
23.329652,1000,5400.669837
22.317062,1000,5407.393066
23.226513,1000,5413.991292
22.044643,1000,5420.5955
22.721665,1000,5427.273448
23.131127,1000,5433.617215
22.820296,1000,5440.046829
22.618478,1000,5446.620267
22.271159,1000,5453.289575
22.764773,1000,5466.444485
22.722036,1000,5473.029159
22.109847,1000,5479.574244
22.368331,1000,5486.235846
22.934985,1000,5492.876784
22.547273,1000,5499.465391
21.715722,1000,5505.654974
23.289454,1000,5512.293059
23.637943,1000,5519.03699
22.421444,1000,5525.66896
22.998191,1000,5538.750754
22.987055,1000,5545.330797
21.736339,1000,5551.996505
22.73679,1000,5558.567739
23.503599,1000,5565.299974
23.360259,1000,5571.866172
22.915713,1000,5578.193538
23.519545,1000,5584.822894
22.540777,1000,5591.45978
23.125527,1000,5598.188722
22.896599,1000,5611.188007
23.18839,1000,5617.796423
22.455348,1000,5624.448873
22.257339,1000,5631.062032
22.964896,1000,5637.849006
23.026161,1000,5644.068815
22.626267,1000,5650.633497
23.399729,1000,5657.282564
22.91475,1000,5663.8684
22.427581,1000,5670.461109
22.698394,1000,5683.508125
23.135934,1000,5690.192431
21.521937,1000,5696.984627
23.104137,1000,5703.696587
22.381219,1000,5710.409552
22.22943,1000,5716.559651
23.344881,1000,5723.135976
23.714666,1000,5729.844783
23.546885,1000,5736.414306
23.888517,1000,5743.047945
23.10956,1000,5756.119514
23.464182,1000,5762.73095
23.105997,1000,5769.359917
23.599692,1000,5775.95233
23.245378,1000,5782.408711
23.47195,1000,5788.797567
23.065877,1000,5795.383275
23.222292,1000,5802.007143
23.266732,1000,5808.710802
23.401891,1000,5815.323436
22.853494,1000,5828.330949
23.535204,1000,5835.009126
22.534108,1000,5841.61304
23.90797,1000,5848.245144
23.019499,1000,5854.506826
23.682412,1000,5860.990527
22.931257,1000,5867.581553
23.50651,1000,5874.204157
23.535102,1000,5880.82515
23.091138,1000,5887.538123
23.548884,1000,5900.571
23.561928,1000,5907.194998
23.876443,1000,5913.893385
23.726382,1000,5920.690096
23.476773,1000,5926.791163
23.07549,1000,5933.339772
22.921649,1000,5939.996677
23.645979,1000,5946.676361
23.993739,1000,5953.246006
23.008828,1000,5959.811511
24.433408,1000,5972.892403
23.432168,1000,5979.546758
24.167076,1000,5986.108444
23.435161,1000,5992.652681
23.668566,1000,5998.932862
22.855734,1000,6005.541983
23.353406,1000,6012.077292
23.940676,1000,6018.702011
22.787678,1000,6025.30698
24.095356,1000,6031.974324
23.627281,1000,6045.021523
23.764486,1000,6051.569378
23.734729,1000,6058.28151
24.03778,1000,6064.578158
23.668594,1000,6071.019298
23.033548,1000,6077.593718
24.34005,1000,6084.17614
23.408553,1000,6090.810555
24.116543,1000,6097.491704
23.665857,1000,6104.094458
23.440176,1000,6117.131474
22.966012,1000,6123.820475
23.2027,1000,6130.356533
24.26669,1000,6136.493989
24.360849,1000,6143.033449
24.051562,1000,6149.80267
24.811293,1000,6156.394136
24.074339,1000,6163.011168
23.07538,1000,6169.665082
23.611778,1000,6176.343031
23.666795,1000,6189.391317
23.846476,1000,6196.042851
23.467193,1000,6202.50099
23.130796,1000,6208.75235
23.826079,1000,6215.402795
24.504815,1000,6222.192883
23.784248,1000,6228.805884
22.991265,1000,6235.445951
23.772086,1000,6242.0599
22.997566,1000,6248.767318
23.874823,1000,6261.785488
24.474456,1000,6268.46573
23.455586,1000,6274.773414
23.687914,1000,6281.277624
24.268699,1000,6287.942141
24.571241,1000,6294.632177
23.606966,1000,6301.377472
23.7882,1000,6308.092732
23.875919,1000,6314.692827
24.305721,1000,6321.345897
25.608635,1000,6334.529842
22.931704,1000,6341.077654
23.618208,1000,6347.201387
24.832655,1000,6353.765598
23.089407,1000,6360.484046
23.48111,1000,6367.096308
23.675057,1000,6373.711871
24.332895,1000,6380.348683
23.636265,1000,6387.101002
24.993548,1000,6393.747473
23.150544,1000,6406.713626
24.071213,1000,6413.288332
23.737165,1000,6419.540324
24.206918,1000,6426.158848
23.61748,1000,6432.804138
24.750849,1000,6439.388081
24.782911,1000,6446.040267
23.675151,1000,6452.710237
24.195057,1000,6459.342825
24.829843,1000,6465.993484
24.262592,1000,6479.30268
24.44528,1000,6485.586903
24.293586,1000,6492.161062
23.550667,1000,6498.737787
24.891796,1000,6505.39997
25.022431,1000,6512.038634
23.517923,1000,6518.74227
24.794089,1000,6525.308165
23.500345,1000,6531.917102
24.018908,1000,6538.516989
24.879915,1000,6551.586729
24.859531,1000,6557.812397
23.74778,1000,6564.406755
24.575923,1000,6571.107066
24.297326,1000,6577.666143
24.013264,1000,6584.231743
24.217627,1000,6590.841815
23.828432,1000,6597.588511
24.712934,1000,6604.245396
24.5562,1000,6610.819541
23.849174,1000,6623.769681
24.688529,1000,6630.059545
24.610881,1000,6636.676255
24.200972,1000,6643.265037
24.221385,1000,6650.000735
24.01889,1000,6656.649583
24.699496,1000,6663.259137
24.557085,1000,6669.875181
23.717324,1000,6676.656182
24.910958,1000,6683.257691
24.515874,1000,6696.014292
25.016829,1000,6702.505916
24.385798,1000,6709.131374
24.872884,1000,6715.749835
24.657114,1000,6722.381542
24.211181,1000,6729.202255
25.329249,1000,6735.780056
24.813336,1000,6742.36923
25.138562,1000,6749.034822
24.4663,1000,6755.720664
24.488395,1000,6768.138495
24.73528,1000,6774.733176
24.565227,1000,6781.47562
25.223909,1000,6788.085752
24.865836,1000,6794.641685
25.458641,1000,6801.308201
24.392621,1000,6808.122589
25.32295,1000,6814.745286
25.151467,1000,6821.328721
23.880862,1000,6827.910871
25.158906,1000,6840.543376
24.386474,1000,6847.120228
23.875056,1000,6853.690621
24.789402,1000,6860.445241
24.369326,1000,6867.094167
24.96075,1000,6873.713229
25.294121,1000,6880.367897
25.041882,1000,6887.156008
24.563608,1000,6893.763492
24.266325,1000,6900.427487
25.495209,1000,6913.186278
24.841337,1000,6919.753458
24.797835,1000,6926.437149
24.545661,1000,6933.025626
23.911228,1000,6939.675432
25.003725,1000,6946.296025
25.126708,1000,6952.914674
24.384224,1000,6959.630326
24.123397,1000,6966.209839
24.008804,1000,6972.843982
25.297883,1000,6985.936653
24.448202,1000,6992.603193
24.252954,1000,6999.232615
24.985241,1000,7005.896255
25.256381,1000,7012.635098
25.070587,1000,7019.268883
25.054003,1000,7025.870294
24.345548,1000,7032.464195
25.004506,1000,7039.202504
25.051413,1000,7045.732423
25.098293,1000,7058.822428
25.177154,1000,7065.545464
25.866587,1000,7072.206626
25.065423,1000,7078.85338
26.432256,1000,7085.436158
24.889118,1000,7092.109714
25.555331,1000,7098.700522
24.984457,1000,7105.313919
25.544597,1000,7111.928688
24.31092,1000,7118.414749
24.207742,1000,7131.392672
25.457136,1000,7138.06787
26.057492,1000,7144.695838
25.461173,1000,7151.295513
24.480019,1000,7157.957987
25.478628,1000,7164.503647
25.008234,1000,7171.296941
25.760111,1000,7177.846861
25.803604,1000,7184.458925
25.657136,1000,7190.766317
